,Unnamed: 0,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
0,0,Elegant 3 bedroom Unit For Rent in One Penn Place Salcedo Village Makati City,"Salcedo Village, Makati",Metro Manila,Makati,Salcedo Village,"₱ 210,000",Monthly,3,4.0,233.0,One Penn Place,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,MRT Magallanes 2 Bedroom Condo for Rent 38sqm 29K per Month,"San Lorenzo, Makati",Metro Manila,Makati,San Lorenzo,"₱ 29,000",Monthly,2,1.0,38.0,San Lorenzo Place,4.04,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,2,3 Bedroom Condo Unit beside Burgundy Corporate Towers and Makati Medical Center,"Sen. Gil Puyat Avenue, Makati",Metro Manila,Makati,Sen. Gil Puyat Avenue,"₱ 70,000",Monthly,3,2.0,118.0,West of Ayala,4.83,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
3,3,Studio Unit for Rent in Manhattan Square Makati,"162 Valero Salcedo Village, Makati City, Metro Manila, Philippines Salcedo Village, Makati",Metro Manila,Makati,Salcedo Village,"₱ 28,000",Monthly,1,1.0,30.0,The Manhattan Square,4.89,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4,Rent: Wooden Aesthetic 1 Bedroom Unit w/ Balcony - Laureano Di Trevi Makati City,"Chino Roces Avenue, Makati Pio Del Pilar, Makati",Metro Manila,Makati,Pio Del Pilar,"₱ 15,000",Monthly,1,1.0,27.0,Laureano Di Trevi,4.58,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,5,Cozy 2 bedroom Unit For Rent in Paseo Heights Salcedo Village Makati City,"LP Leviste St Salcedo Village Bel-Air, Makati",Metro Manila,Makati,Bel-Air,"₱ 45,000",Monthly,2,2.0,78.0,Paseo Heights Tower,4.54,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,"Semi Furnished 30sqm Studio for Rent in Paseo Heights, Makati City","L.P. Leviste Streets, Salcedo Village, Makati City Salcedo Village, Makati",Metro Manila,Makati,Salcedo Village,"₱ 28,000",Monthly,1,1.0,30.0,Paseo Heights,4.89,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,7,"San Lorenzo Place 44 sqm 2 Bedroom Unit for Rent, Makati Magallanes","San Lorenzo, Makati",Metro Manila,Makati,San Lorenzo,"₱ 30,000",Monthly,2,2.0,44.0,San Lorenzo Place,4.04,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
8,8,Westgate Plaza Studio Unit for Lease at Westgate Plaza Makati City,"120 H. V. dela Costa, Salcedo Village, Makati City Bel-Air, Makati",Metro Manila,Makati,Bel-Air,"₱ 20,000",Monthly,1,1.0,32.0,Westgate Plaza,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,9,Rockwell Lorraine Tower 3 Bedroom for Lease,"Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 184,000",Monthly,3,3.0,184.0,Proscenium at Rockwell,4.4,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
