,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
0,0,0,0,0,"For Rent: Unfurnished Studio Unit in Alabang w/ wifi installed, Muntinlupa city","National Road, Alabang, Muntinlupa, Metro Manila Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 15,000",Monthly,1.0,1,22.4,Avida Towers Altura,4.87,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,"Fully Furnished 1-Bedroom Condo in Alabang, overlooking Laguna Lake","Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 25,000",Monthly,1.0,1,37.0,Avida Towers Altura,4.87,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0
2,2,2,2,2,"1 Bedroom For Rent in Bristol at Parkway Place, Alabang","Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 88,000",Monthly,1.0,1,61.0,Bristol at Parkway Place,4.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,"For Rent: Semi-furnished Studio with Balcony in Southkey Place, Alabang, Muntinlupa","Indo-China Dr. cor. Orient Lane, Northgate Cyberzone, Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 13,500",Monthly,1.0,1,15.65,Southkey Place,4.87,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4,4,4,4,"For Rent: Semi-furnished 1-Bedroom Unit in Southkey Place, Alabang, Muntinlupa","Indo-China Dr. cor. Orient Lane, Northgate Cyberzone, Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 25,000",Monthly,1.0,1,31.3,Southkey Place,4.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,5,5,5,5,"For Rent: Semi-furnished Studio Unit in Southkey Place, Alabang, Muntinlupa City","Indo-China Dr. cor. Orient Lane, Northgate Cyberzone, Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 13,500",Monthly,1.0,1,14.31,Southkey Place,4.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,6,6,6,6,"For Rent: Semi-furnished 1BR with Balcony in Southkey Place, Alabang, Muntinlupa","Indo-China Dr. cor. Orient Lane, Northgate Cyberzone, Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 25,000",Monthly,1.0,1,31.16,Southkey Place,4.87,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,7,7,7,7,Avida Towers Alabang T2 Furnished 1BR for Rent,"Ayala Alabang, Muntinlupa",Metro Manila,Muntinlupa,Ayala Alabang,"₱ 40,000",Monthly,1.0,1,40.0,Avida Towers Alabang,4.06,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,8,8,8,8,2 bedrooms at Mondrian Filinvest Corporate City Alabang Muntinupa,"Mondrian Residences Kuala Lumpur Lane Alabang Muntinlupa Alabang, Muntinlupa",Metro Manila,Muntinlupa,Alabang,"₱ 85,000",Monthly,2.0,3,92.0,Mondrian,4.87,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,9,9,9,9,1 Bedroom at Asia Enclaves Alabang Muntinlupa,"KM 19 W service rd, cupang road Cupang, Muntinlupa",Metro Manila,Muntinlupa,Cupang,"₱ 18,000",Monthly,1.0,1,40.0,Asia Enclaves,4.4,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
