,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
0,0,0,0,Semi-furnished 1BR Sucat condo for rent San Isidro Parañaque,"San Isidro, Parañaque",Metro Manila,Parañaque,San Isidro,"₱ 14,000",Monthly,1,1.0,30.0,Fountain Breeze,"3.61
out of 5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,Oak Harbor 2 Bedroom Waterview for Rent,"Jackson Avenue Don Galo, Parañaque",Metro Manila,Parañaque,Don Galo,"₱ 80,000",Monthly,2,3.0,80.0,Oak Harbor Residences,"4.71
out of 5",1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
2,2,2,2,Furnished 1br Condo with balcony -Solemare Parksuites,"Bradco Avenue, Aseana Business Park, Paranaque City Tambo, Parañaque",Metro Manila,Parañaque,Tambo,"₱ 23,000",Monthly,1,1.0,30.0,Solemare Parksuites,"4.17
out of 5",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3,3,3,Solemare Parksuites Fully Furnsihed 2BR unit For Rent in Parañaque near Pasay,"Tambo, Parañaque",Metro Manila,Parañaque,Tambo,"₱ 40,000",Monthly,2,2.0,60.0,SoleMare Parksuites,"4.17
out of 5",1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
4,4,4,4,"For Rent: 2 Bedroom Condo Unit at Oak Harbor Residences in Don Galo, Parañaque","Jackson Ave, Parañaque, Metro Manila Don Galo, Parañaque",Metro Manila,Parañaque,Don Galo,"₱ 90,000",Monthly,2,2.0,80.0,Oak Harbor Residences,"4.71
out of 5",0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
5,5,5,5,For RENT: Fully Furnished 1 Bedroom in Bayshore 1," J.W. Diokno Blvd, Tambo, Parañaque, Metro Manila Tambo, Parañaque",Metro Manila,Parañaque,Tambo,"₱ 60,000",Monthly,1,1.0,59.5,Bayshore Residential Resort,"4.17
out of 5",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,"2BR, 2T&B, 2Balcony Fully Furnished End Unit with High-End Appliances FOR RENT!","Santo Niño, Parañaque",Metro Manila,Parañaque,Santo Niño,"₱ 45,000",Monthly,2,2.0,78.0,Arista Place,"2.18
out of 5",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7,7,7,7,1BR unit for rent at Azure Urban Resort Residences,"Marcelo Green Village, Parañaque",Metro Manila,Parañaque,Marcelo Green Village,"₱ 26,500",Monthly,1,1.0,30.0,Azure Urban Resort Residences,"3.9
out of 5",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,8,8,8,"2Br Staff House near Pearl Plaza, PITX, MOA, NAIA, COD, OKADA","Arista Place, JP Rizal St. Santo Niño, Parañaque",Metro Manila,Parañaque,Santo Niño,"₱ 25,000",Monthly,2,1.0,59.0,Arista Place,"2.18
out of 5",0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0
9,9,9,9,"2 Bed Rooms in Arista Place near Okada NAIA 1234, COD Pearl Plaza PITX","Magnus Bldg Arista Place, JP Rizal St. Santo Niño, Parañaque",Metro Manila,Parañaque,Santo Niño,"₱ 25,000",Monthly,2,1.0,59.0,Arista Place,"2.18
out of 5",0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
