,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
0,0,0,0,0,1 Bedroom Furnished Condo Unit for rent at Renaissance Tower,"Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 45,000",Monthly,1,1.0,90.0,Renaissance Tower,4.26,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,For Rent - Ace Suites Kapitolyo Pasig Studio near Ortigas CBD,"Philippines, Pasig, Kapitolyo, United St Kapitolyo, Pasig",Metro Manila,Pasig,Kapitolyo,"₱ 18,500",Monthly,1,1.0,30.0,ACE Suites,3.86,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0
2,2,2,2,2,"Fully Furnished 1BR Unit (43 sqm) for Rent in The Grove - Tower D, Ugong, Pasig","Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 37,000",Monthly,1,1.0,43.0,The Grove By Rockwell,4.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,"Fully Furnished 2BR Unit (97 sqm) for Rent in The Grove - Tower C, Ugong, Pasig","Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 83,000",Monthly,2,3.0,97.0,The Grove By Rockwell,4.26,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
4,4,4,4,4,"Fully Furnished 2BR Unit (67 sqm) for Rent in The Grove - Tower E, Ugong, Pasig","Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 57,000",Monthly,2,2.0,67.0,The Grove By Rockwell,4.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,5,1 Bedroom at Sapphire Bloc North Tower,"Sapphire Rd, Ortigas Center, Pasig, Metro Manila Ortigas CBD, Pasig",Metro Manila,Pasig,Ortigas CBD,"₱ 30,000",Monthly,1,1.0,30.0,The Sapphire Bloc,4.55,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,"2BR Unit (74 sqm) for Rent in The Grove - Tower B, Ugong, Pasig","Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 54,000",Monthly,2,3.0,74.0,The Grove By Rockwell,4.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,7,"Furnished Studio Unit (34 sqm) for Rent in The Grove - Tower D, Ugong, Pasig","Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 29,000",Monthly,1,1.0,34.0,The Grove By Rockwell,4.26,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,8,"Fully Furnished 1BR Unit (46 sqm) for Rent in The Grove - Tower F, Ugong, Pasig","Ugong, Pasig",Metro Manila,Pasig,Ugong,"₱ 40,000",Monthly,1,1.0,46.0,The Grove By Rockwell,4.26,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,9,"2BR Unit (60 sqm) for Rent in The Vantage at Kapitolyo - West Tower, Pasig City","50 West Capitol Drive Kapitolyo, Pasig",Metro Manila,Pasig,Kapitolyo,"₱ 48,000",Monthly,2,2.0,60.0,The Vantage at Kapitolyo,3.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
