,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
0,0,0,0,Seibu Tower One Bedroom Unit for Rent,"24th St corner 6th Ave Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 25,000",Monthly,1,1.0,40.67,Seibu Tower,"4.22
out of 5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,2 Bedroom for Rent at One Uptown Residences,"8th Avenue BGC Fort Bonifacio Global City Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 70,000",Monthly,2,2.0,73.3,One Uptown Residences,"4.22
out of 5",0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
2,2,2,2,Grace Residences 1BR Unit with Balcony For Rent in Taguig City,"Ususan, Taguig",Metro Manila,Taguig,Ususan,"₱ 13,000",Monthly,1,1.0,22.0,Grace Residences,"4.86
out of 5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,3,3,3,"Rush! One Serendra 2BR For Rent: 145m2, Furnished, facing gardens, 2P, P125K","Philippines, Taguig City, Fort Bonifacio Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 125,000",Monthly,2,3.0,145.0,One Serendra,"4.22
out of 5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4,4,4,For Lease 2 Bedroom Suite at Garden Bridge One Serendra,"Serendra Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 200,000",,2,3.0,172.0,One Serendra,"4.22
out of 5",1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0
5,5,5,5,3 bedroom with maidsroom for rent in One Serendra East Tower,"32nd st cor 11th ave Fort bonifacio Taguig Metro Manila, 32nd St, Taguig, Metro Manila Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 400,000",Monthly,3,3.0,402.0,One Serendra,"4.22
out of 5",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,6,6,6,3 bedroom for rent in St. Moritz Private Estates,"Le Grand Ave, Taguig, 1630 Metro Manila McKinley Hill, Taguig",Metro Manila,Taguig,McKinley Hill,"₱ 152,000",Monthly,3,2.0,117.0,St. Moritz Private Estate,"4.98
out of 5",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
7,7,7,7,"One Roxas Triangle: 3BR For rent, 309 sqm, facing Urdaneta, Forbes unit, 3Parkng","Cruzada Street Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 200,000",Monthly,3,5.0,309.0,One Roxas Triangle,"4.22
out of 5",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,Sapphire Residences -2 Bedroom Fully Furnished Condo Unit,"Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 68,000",Monthly,2,2.0,80.0,Sapphire Residences,"4.22
out of 5",0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
9,9,9,9,For lease Spacious 1 bedroom in Two Serendra Aston tower,"1634 McKinley Pkwy Fort Bonifacio, Taguig",Metro Manila,Taguig,Fort Bonifacio,"₱ 50,000",Monthly,1,1.0,55.0,Two Serendra,"4.22
out of 5",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
