,Listing Title,Price,Bedroom,Bath,Area,Condominium Name,City,Link
4,"Studio Unit for Rent in One Legazpi Park, Makati City",50000.0,1.0,1.0,40.45,One Legazpi Park,Makati,['https://www.lamudi.com.ph/studio-unit-for-rent-in-one-legazpi-park-makati-city.html']
5,TRAG 3 Bedroom Unit for Rent,220000.0,3.0,3.0,210.0,The Residences at Greenbelt,Makati,['https://www.lamudi.com.ph/trag-3-bedroom-unit-for-rent.html']
7,For Rent: 1 Bedroom at The Columns Ayala Avenue Makati City,40000.0,1.0,1.0,48.0,The Columns Ayala Avenue,Makati,['https://www.lamudi.com.ph/for-rent-1-bedroom-at-the-columns-ayala-avenue-makati-city.html']
8,"For Lease: Fully Furnished 2BR Unit in Tiffany Place, Makati - 170sqm",135000.0,2.0,2.0,170.0,Tiffany Place,Makati,['https://www.lamudi.com.ph/for-lease-fully-furnished-2br-unit-in-tiffany-place-makati-170sqm.html']
9,Studio unit for rent at One Pacific Place,20000.0,1.0,1.0,20.0,One Pacific Place,Makati,['https://www.lamudi.com.ph/studio-unit-for-rent-at-one-pacific-place.html']
10,Park Terraces Tower 1 Furnished 2 Bedroom for Lease!!,105000.0,2.0,2.0,103.0,Park Terraces,Makati,['https://www.lamudi.com.ph/park-terraces-tower-1-furnished-2-bedroom-for-lease.html']
11,Fully Furnished Studio Unit in Century City near Rockwell Salcedo Paseo,25000.0,1.0,1.0,27.0,Knightsbridge Residences,Makati,['https://www.lamudi.com.ph/fully-furnished-studio-unit-in-century-city-near-rockwell-salcedo-paseo-656772-35.html']
12,Park Terraces Three Bedroom Condo Rent Ayala Center Makati City,230000.0,3.0,3.0,166.0,Park Terraces,Makati,['https://www.lamudi.com.ph/park-terraces-three-bedroom-condo-rent-ayala-center-makati-city.html']
14,"1 bedroom, fully furnished unit for rent at Park Terraces",90000.0,1.0,1.0,83.0,Park Terraces,Makati,['https://www.lamudi.com.ph/1-bedroom-fully-furnished-unit-for-rent-at-park-terraces.html']
15,"Studio Type, One Pacific Place Makati For Rent",24000.0,1.0,1.0,24.0,One Pacific Place,Makati,['https://www.lamudi.com.ph/studio-type-one-pacific-place-makati-for-rent.html']
16,For Rent 3 Bedroom Escala Salcedo Makati Narciso Realty ,140000.0,3.0,3.0,129.0,Escala Salcedo,Makati,['https://www.lamudi.com.ph/for-rent-3-bedroom-escala-salcedo-makati-narciso-realty.html']
18,"For Rent: Joya Lofts & Towers - 1 Bedroom Unit, Furnished, 73 Sqm., 1Parking",75000.0,1.0,1.0,73.0,Joya Lofts and Towers,Makati,['https://www.lamudi.com.ph/for-rent-joya-lofts-towers-1-bedroom-unit-furnished-73-sqm-1parking.html']
19,Furnished Unit at Luna Gardens Rockwell Makati 3 Bedroom Unit For Rent,300000.0,3.0,3.0,247.0,Luna Gardens Tower,Makati,['https://www.lamudi.com.ph/furnished-unit-at-luna-gardens-rockwell-makati-3-bedroom-unit-for-rent.html']
20,"Furnished 1BR with Balcony and Parking for Rent in Elizabeth Place, Makati City",45000.0,1.0,1.0,62.0,Elizabeth Place,Makati,['https://www.lamudi.com.ph/furnished-1br-with-balcony-and-parking-for-rent-in-elizabeth-place-makati-city.html']
21,2 Bedroom for Rent in San Lorenzo Place Makati,30000.0,2.0,1.0,39.0,San Lorenzo Place Makati,Makati,['https://www.lamudi.com.ph/2-bedroom-for-rent-in-san-lorenzo-place-makati-8.html']
22,2 Bedroom and 2 Bathrooms - San Lorenzo Place,30000.0,2.0,2.0,44.0,San Lorenzo Place,Makati,['https://www.lamudi.com.ph/2-bedroom-and-2-bathrooms-san-lorenzo-place.html']
23,3 Bedroom and 2 Bathrooms at San Lorenzo Place for rent in Makati City,50000.0,3.0,2.0,77.0,San Lorenzo Place,Makati,['https://www.lamudi.com.ph/3-bedroom-and-2-bathrooms-at-san-lorenzo-place-for-rent-in-makati-city.html']
24,Joya North Fully-Furnished 2 Bedroom with Balcony and Maid's Room for Lease!!,155000.0,2.0,2.0,123.0,Joya Lofts and Towers,Makati,['https://www.lamudi.com.ph/joya-north-fully-furnished-2-bedroom-with-balcony-and-maids-room-for-lease.html']
25,"Fully Furnished 1BR unit in Joya Lofts & Tower, Rockwell Center, Makati City.",49000.0,1.0,1.0,48.0,Joya Lofts & Towers,Makati,['https://www.lamudi.com.ph/fully-furnished-1br-unit-in-joya-lofts-tower-rockwell-center-makati-city.html']
26,"Fully Furnished 1 Bedroom Unit For Rent with Balcony Air Residences, Makati",25000.0,1.0,1.0,26.35,Air Residences,Makati,['https://www.lamudi.com.ph/fully-furnished-1-bedroom-unit-for-rent-with-balcony-air-residences-makati.html']
27,"Studio for rent at Cityland Makati Executive Tower 1, Dela Rosa St., Makati City",16500.0,1.0,1.0,25.0,Makati Executive Tower 1,Makati,['https://www.lamudi.com.ph/studio-for-rent-at-cityland-makati-executive-tower-1-dela-rosa-st-makati-city.html']
28,For Lease 2 Bedroom in Three Salcedo Place Makati ,120000.0,2.0,2.0,169.0,Three Salcedo Place,Makati,['https://www.lamudi.com.ph/for-lease-2-bedroom-in-three-salcedo-place-makati-2.html']
30, Skyland Condominium 3 Bedroom Furnished unit for Lease!!,110000.0,3.0,3.0,187.0,Skyland Plaza,Makati,['https://www.lamudi.com.ph/skyland-condominium-3-bedroom-furnished-unit-for-lease.html']
31,1 Bedroom for rent in Makati City,60000.0,1.0,1.0,50.0,The Columns Legazpi Village,Makati,['https://www.lamudi.com.ph/1-bedroom-for-rent-in-makati-city-1.html']
32,"One Bedroom for rent at Avida Towers Asten - Tower 2, Malugay, Makati City.",30000.0,1.0,1.0,39.17,Avida Towers Asten,Makati,['https://www.lamudi.com.ph/one-bedroom-for-rent-at-avida-towers-asten-tower-2-malugay-makati-city.html']
33,For Lease: Park Terraces Point Tower 1 Bedroom with Balcony and Parking,150000.0,1.0,1.0,72.0,Park Terraces,Makati,['https://www.lamudi.com.ph/for-lease-park-terraces-point-tower-1-bedroom-with-balcony-and-parking.html']
34,For Rent 1 Bedroom Condo Unit at Greenbelt Parkplace ,35000.0,1.0,1.0,36.5,Greenbelt Parkplace,Makati,['https://www.lamudi.com.ph/for-rent-1-bedroom-condo-unit-at-greenbelt-parkplace.html']
35,"2-Bedroom, Fully Furnished Unit in The Beacon Makati For Lease",100000.0,2.0,2.0,94.0,The Beacon,Makati,['https://www.lamudi.com.ph/2-bedroom-fully-furnished-unit-in-the-beacon-makati-for-lease.html']
36,"Cozy 1 BR in San Lorenzo Place, Makati, with WiFi & near MRT",35000.0,1.0,1.0,28.0,San Lorenzo Place,Makati,['https://www.lamudi.com.ph/cozy-1-br-in-san-lorenzo-place-makati-with-wifi-near-mrt.html']
38,"Studio for rent in Alpha Salcedo, Salcedo Village, Makati",25000.0,1.0,1.0,30.0,Alpha Salcedo,Makati,['https://www.lamudi.com.ph/studio-for-rent-in-alpha-salcedo-salcedo-village-makati.html']
39,"Sweet Lease Deal At Kirov Tower, Rockwell",200000.0,3.0,4.0,237.0,Proscenium at Rockwell,Makati,['https://www.lamudi.com.ph/sweet-lease-deal-at-kirov-tower-rockwell.html']
40,Fully Furnished 1BR for Rent in Makati San Lorenzo Place,25000.0,1.0,1.0,32.0,San Lorenzo Place,Makati,['https://www.lamudi.com.ph/fully-furnished-1br-for-rent-in-makati-san-lorenzo-place.html']
41,"For Rent 2BR Semi furnished unit in Edades Towers, Rockwell Center, Makati City",110000.0,2.0,2.0,111.0,Edades Towers,Makati,['https://www.lamudi.com.ph/for-rent-2br-semi-furnished-unit-in-edades-towers-rockwell-center-makati-city.html']
42,1 Bedroom Unit for Rent in SMDC Jazz Residences Makati City,17000.0,1.0,1.0,23.47,Jazz Residences,Makati,['https://www.lamudi.com.ph/1-bedroom-unit-for-rent-in-smdc-jazz-residences-makati-city.html']
43,Furnished Studio for rent at the Lerato Tower Makati,35000.0,1.0,1.0,31.0,The Lerato,Makati,['https://www.lamudi.com.ph/furnished-studio-for-rent-at-the-lerato-tower-makati.html']
44,"Fully-furnished 1 Bedroom at Joya Rockwell, Makati for Lease",55000.0,1.0,1.0,56.0,Joya Lofts and Towers,Makati,['https://www.lamudi.com.ph/fully-furnished-1-bedroom-at-joya-rockwell-makati-for-lease.html']
45,"For Lease: 3 Bedroom Unit in Proscenium at Rockwell, Rockwell Center",135000.0,3.0,3.0,138.0,Proscenium at Rockwell,Makati,['https://www.lamudi.com.ph/for-lease-3-bedroom-unit-in-proscenium-at-rockwell-rockwell-center.html']
46,2 Bedroom Unit in Grand Midori Tower 1 For Lease ,58000.0,2.0,1.0,62.0,Grand Midori Tower 1,Makati,['https://www.lamudi.com.ph/2-bedroom-unit-in-grand-midori-tower-1-for-lease.html']
47,"For Lease: Fully Furnished 2BR Unit with Parking in Tiffany Place, Makati",125000.0,2.0,2.0,170.0,Tiffany Place,Makati,['https://www.lamudi.com.ph/for-lease-fully-furnished-2br-unit-with-parking-in-tiffany-place-makati.html']
49,"2 Bedrooms For Rent, Senta Condominium",90000.0,2.0,2.0,89.0,Senta,Makati,['https://www.lamudi.com.ph/2-bedrooms-for-rent-senta-condominium.html']
50,Spacious 3BR at Legaspi Village | BSA TOWER FOR Lease ,95000.0,3.0,2.0,115.0,BSA Tower,Makati,['https://www.lamudi.com.ph/spacious-3br-at-legaspi-village-bsa-tower-for-lease.html']
52,For Rent. Makati Salcedo Vill.  3 Central Condo. 1 Bedroom 1 Parking Furnished,45000.0,1.0,1.0,47.0,Three Central,Makati,['https://www.lamudi.com.ph/for-rent-makati-salcedo-vill-3-central-condo-1-bedroom-1-parking-furnished.html']
53,For Lease 1 Bedroom in Proscenium Lincoln Tower by Rockwell ,70000.0,1.0,1.0,54.0,Lincoln,Makati,['https://www.lamudi.com.ph/for-lease-1-bedroom-in-proscenium-lincoln-tower-by-rockwell.html']
54,"For Lease: Fully Furnished Studio Unit in Paseo Parkview Suites, Makati",35000.0,1.0,1.0,29.0,Paseo Parkview Suites,Makati,['https://www.lamudi.com.ph/for-lease-fully-furnished-studio-unit-in-paseo-parkview-suites-makati.html']
57,For Lease 1 Bedroom in Joya North Rockwell Makati ,55000.0,1.0,1.0,66.0,Joya Lofts and Towers,Makati,['https://www.lamudi.com.ph/for-lease-1-bedroom-in-joya-north-rockwell-makati-4.html']
58,1 Bedroom Condo for Rent in One Central Makati,35000.0,1.0,2.0,46.0,One Central Makati,Makati,['https://www.lamudi.com.ph/1-bedroom-condo-for-rent-in-one-central-makati.html']
60,Beautiful One Bedroom Unit at Amorsolo West Rockwell Makati for Lease Rent,80000.0,1.0,1.0,73.0,Amorsolo West,Makati,['https://www.lamudi.com.ph/beautiful-one-bedroom-unit-at-amorsolo-west-rockwell-makati-for-lease-rent.html']
61,For Rent: 1 Bedroom Semi Furnished Unit in Air Residences Makati City,27000.0,1.0,1.0,26.5,Air Residences,Makati,['https://www.lamudi.com.ph/for-rent-1-bedroom-semi-furnished-unit-in-air-residences-makati-city.html']
62,Fully Furnished Studio Unit for Rent in The Beacon Tower Makati,22000.0,1.0,1.0,,The Beacon,Makati,['https://www.lamudi.com.ph/fully-furnished-studio-unit-for-rent-in-the-beacon-tower-makati.html']
64,"For Rent: Rizal Tower, Rockwell- 3 bedroom unit",220000.0,3.0,3.0,289.0,Rizal Tower,Makati,['https://www.lamudi.com.ph/for-rent-rizal-tower-rockwell-3-bedroom-unit.html']
67,Manansala Tower Fully-Furnished 1-Bedroom with 1 Parking For Lease,65000.0,1.0,1.0,71.0,The Manansala,Makati,['https://www.lamudi.com.ph/manansala-tower-fully-furnished-1-bedroom-with-1-parking-for-lease.html']
68,For Lease Studio in Joya North Rockwell Makati ,35000.0,1.0,1.0,33.0,Joya Lofts and Towers,Makati,['https://www.lamudi.com.ph/for-lease-studio-in-joya-north-rockwell-makati-2.html']
69,Shang Salcedo Place Makati - Studio Unit For Rent,33000.0,1.0,1.0,35.0,Shang Salcedo Place,Makati,['https://www.lamudi.com.ph/shang-salcedo-place-makati-studio-unit-for-rent.html']
70,For Rent: Studio unit at Prince Plaza 2 in Makati City,23000.0,1.0,1.0,33.0,Prince Plaza I,Makati,['https://www.lamudi.com.ph/for-rent-studio-unit-at-prince-plaza-2-in-makati-city.html']
71,"Fully Furnished Studio Unit For Rent at Paseo de Roces, Makati",28000.0,1.0,1.0,25.5,Paseo de Roces,Makati,['https://www.lamudi.com.ph/fully-furnished-studio-unit-for-rent-at-paseo-de-roces-makati-3.html']
74,1 bedroom unit for lease in Lincoln Tower with Parking,55000.0,1.0,1.0,54.0,Proscenium,Makati,['https://www.lamudi.com.ph/1-bedroom-unit-for-lease-in-lincoln-tower-with-parking.html']
